SESION;FECHA;TIPO;BOLETIN;SUMA;DETALLE;DIPUTADO;SEXO;PARTIDO;VOTACION;COMISION;INFORME;TRAMITE;PERIODO
127;21-03-2017;GENERAL;8378-13;Modifica el artículo 420 del Código del Trabajo, confiriéndole competencia a los tribunales laborales para conocer de las contiendas en que, los causahabientes del trabajador, buscan hacer efectiva la responsabilidad del empleador, derivada de accidentes del trabajo o enfermedades profesionales.;;Andrade Lara Osvaldo;Masculino;PS;A FAVOR;Trabajo;Primer informe de comisión;Segundo trámite constitucional;2014-2018
127;21-03-2017;GENERAL;11161-13;Extiende y modifica la cotización extraordinaria para el seguro social contra riesgos de accidentes del trabajo y enfermedades profesionales, y crea el fondo que financiará el seguro para el acompañamiento de los niños y niñas que indica;;Andrade Lara Osvaldo;Masculino;PS;A FAVOR;Trabajo;Primer informe de comisión;Primer trámite constitucional;2014-2018
127;21-03-2017;GENERAL;11161-13;Extiende y modifica la cotización extraordinaria para el seguro social contra riesgos de accidentes del trabajo y enfermedades profesionales, y crea el fondo que financiará el seguro para el acompañamiento de los niños y niñas que indica;;Campos Jara Cristián;Masculino;PPD;A FAVOR;Trabajo;Primer informe de comisión;Primer trámite constitucional;2014-2018
127;21-03-2017;GENERAL;8378-13;Modifica el artículo 420 del Código del Trabajo, confiriéndole competencia a los tribunales laborales para conocer de las contiendas en que, los causahabientes del trabajador, buscan hacer efectiva la responsabilidad del empleador, derivada de accidentes del trabajo o enfermedades profesionales.;;Campos Jara Cristián;Masculino;PPD;NO VOTA;Trabajo;Primer informe de comisión;Segundo trámite constitucional;2014-2018
127;21-03-2017;GENERAL;11161-13;Extiende y modifica la cotización extraordinaria para el seguro social contra riesgos de accidentes del trabajo y enfermedades profesionales, y crea el fondo que financiará el seguro para el acompañamiento de los niños y niñas que indica;;Carmona Soto Lautaro;Masculino;PC;A FAVOR;Trabajo;Primer informe de comisión;Primer trámite constitucional;2014-2018
127;21-03-2017;GENERAL;8378-13;Modifica el artículo 420 del Código del Trabajo, confiriéndole competencia a los tribunales laborales para conocer de las contiendas en que, los causahabientes del trabajador, buscan hacer efectiva la responsabilidad del empleador, derivada de accidentes del trabajo o enfermedades profesionales.;;Carmona Soto Lautaro;Masculino;PC;A FAVOR;Trabajo;Primer informe de comisión;Segundo trámite constitucional;2014-2018
127;21-03-2017;GENERAL;8378-13;Modifica el artículo 420 del Código del Trabajo, confiriéndole competencia a los tribunales laborales para conocer de las contiendas en que, los causahabientes del trabajador, buscan hacer efectiva la responsabilidad del empleador, derivada de accidentes del trabajo o enfermedades profesionales.;;Jiménez Fuentes Tucapel;Masculino;PPD;A FAVOR;Trabajo;Primer informe de comisión;Segundo trámite constitucional;2014-2018
127;21-03-2017;GENERAL;11161-13;Extiende y modifica la cotización extraordinaria para el seguro social contra riesgos de accidentes del trabajo y enfermedades profesionales, y crea el fondo que financiará el seguro para el acompañamiento de los niños y niñas que indica;;Jiménez Fuentes Tucapel;Masculino;PPD;A FAVOR;Trabajo;Primer informe de comisión;Primer trámite constitucional;2014-2018
127;21-03-2017;GENERAL;11161-13;Extiende y modifica la cotización extraordinaria para el seguro social contra riesgos de accidentes del trabajo y enfermedades profesionales, y crea el fondo que financiará el seguro para el acompañamiento de los niños y niñas que indica;;Pascal Allende Denise;Femenino;PS;A FAVOR;Trabajo;Primer informe de comisión;Primer trámite constitucional;2014-2018
127;21-03-2017;GENERAL;8378-13;Modifica el artículo 420 del Código del Trabajo, confiriéndole competencia a los tribunales laborales para conocer de las contiendas en que, los causahabientes del trabajador, buscan hacer efectiva la responsabilidad del empleador, derivada de accidentes del trabajo o enfermedades profesionales.;;Pascal Allende Denise;Femenino;PS;A FAVOR;Trabajo;Primer informe de comisión;Segundo trámite constitucional;2014-2018
127;21-03-2017;GENERAL;11161-13;Extiende y modifica la cotización extraordinaria para el seguro social contra riesgos de accidentes del trabajo y enfermedades profesionales, y crea el fondo que financiará el seguro para el acompañamiento de los niños y niñas que indica;;Vallespín López Patricio;Masculino;DC;A FAVOR;Trabajo;Primer informe de comisión;Primer trámite constitucional;2014-2018
127;21-03-2017;GENERAL;8378-13;Modifica el artículo 420 del Código del Trabajo, confiriéndole competencia a los tribunales laborales para conocer de las contiendas en que, los causahabientes del trabajador, buscan hacer efectiva la responsabilidad del empleador, derivada de accidentes del trabajo o enfermedades profesionales.;;Vallespín López Patricio;Masculino;DC;A FAVOR;Trabajo;Primer informe de comisión;Segundo trámite constitucional;2014-2018
127;21-03-2017;GENERAL;11161-13;Extiende y modifica la cotización extraordinaria para el seguro social contra riesgos de accidentes del trabajo y enfermedades profesionales, y crea el fondo que financiará el seguro para el acompañamiento de los niños y niñas que indica;;Walker Prieto Matías;Masculino;DC;A FAVOR;Trabajo;Primer informe de comisión;Primer trámite constitucional;2014-2018
127;21-03-2017;GENERAL;8378-13;Modifica el artículo 420 del Código del Trabajo, confiriéndole competencia a los tribunales laborales para conocer de las contiendas en que, los causahabientes del trabajador, buscan hacer efectiva la responsabilidad del empleador, derivada de accidentes del trabajo o enfermedades profesionales.;;Walker Prieto Matías;Masculino;DC;A FAVOR;Trabajo;Primer informe de comisión;Segundo trámite constitucional;2014-2018
84;22-03-2017;GENERAL;11163-31;Modifica la ley N°20.422, que Establece normas sobre igualdad de oportunidades e inclusión social de personas con discapacidad, para garantizar el acceso de las personas sordas e hipoacúsicas a la totalidad de la programación televisiva;;Alvarado Ramírez Miguel Ángel;Masculino;PPD;A FAVOR;Desarrollo Social;Discusión general;Primer trámite constitucional;2014-2018
84;22-03-2017;GENERAL;11163-31;Modifica la ley N°20.422, que Establece normas sobre igualdad de oportunidades e inclusión social de personas con discapacidad, para garantizar el acceso de las personas sordas e hipoacúsicas a la totalidad de la programación televisiva;;Arriagada Macaya Claudio;Masculino;DC;A FAVOR;Desarrollo Social;Discusión general;Primer trámite constitucional;2014-2018
84;22-03-2017;GENERAL;11163-31;Modifica la ley N°20.422, que Establece normas sobre igualdad de oportunidades e inclusión social de personas con discapacidad, para garantizar el acceso de las personas sordas e hipoacúsicas a la totalidad de la programación televisiva;;Melo Contreras Daniel;Masculino;PS;A FAVOR;Desarrollo Social;Discusión general;Primer trámite constitucional;2014-2018
