Grupo;Norma;Título;Publicación;Organismo;idNorma;idParte;Url
Instrumentos Internacionales;Decreto 82;PROMULGA LA CONVENCION SOBRE LA PROTECCION Y PROMOCION DE LA DIVERSIDAD DE LAS EXPRESIONES CULTURALES Y SU ANEXO;27-JUN-2007;MINISTERIO DE RELACIONES EXTERIORES;262136;0;https://www.leychile.cl/Consulta/Navegar?idNorma=262136&idParte=0
Instrumentos Internacionales;Decreto 236;PROMULGA EL CONVENIO Nº 169 SOBRE PUEBLOS INDÍGENAS Y TRIBALES EN PAÍSES INDEPENDIENTES DE LA ORGANIZACIÓN INTERNACIONAL DEL TRABAJO;14-OCT-2008;MINISTERIO DE RELACIONES EXTERIORES;279441;0;https://www.leychile.cl/Consulta/Navegar?idNorma=279441&idParte=0
Instrumentos Internacionales;Decreto 11;PROMULGA LA CONVENCIÓN PARA LA SALVAGUARDIA DEL PATRIMONIO CULTURAL INMATERIAL DE LA UNESCO;13-MAR-2009;MINISTERIO DE RELACIONES EXTERIORES;288015;0;https://www.leychile.cl/Consulta/Navegar?idNorma=288015&idParte=0
Instrumentos Internacionales;Decreto 259;PROMULGA LA CONVENCION SOBRE LA PROTECCION DEL PATRIMONIO MUNDIAL  CULTURAL Y NATURAL  SUSCRITA EN UNESCO  PARIS  EL 16 DE NOVIEMBRE DE 1972;12-MAY-1980;MINISTERIO DE RELACIONES EXTERIORES;265641;0;https://www.leychile.cl/Consulta/Navegar?idNorma=265641&idParte=0
Instrumentos Internacionales;Decreto 240;PROMULGA LA CONVENCIÓN PARA LA PROTECCIÓN DE LOS BIENES CULTURALES EN CASO DE CONFLICTO ARMADO  EL REGLAMENTO PARA LA APLICACIÓN DE LA CONVENCIÓN  SU PROTOCOLO Y EL SEGUNDO PROTOCOLO;05-ENE-2009;MINISTERIO DE RELACIONES EXTERIORES;284532;0;https://www.leychile.cl/Consulta/Navegar?idNorma=284532&idParte=0
Constitución Política de la República;Decreto 100;FIJA EL TEXTO REFUNDIDO COORDINADO Y SISTEMATIZADO DE LA CONSTITUCION POLITICA DE LA REPUBLICA DE CHILE - ART. 1;22-SEP-2005;MINISTERIO SECRETARÍA GENERAL DE LA PRESIDENCIA;242302;8563467;https://www.leychile.cl/Consulta/Navegar?idNorma=242302&idParte=8563467
Constitución Política de la República;Decreto 100;FIJA EL TEXTO REFUNDIDO COORDINADO Y SISTEMATIZADO DE LA CONSTITUCION POLITICA DE LA REPUBLICA DE CHILE - ART. 19;22-SEP-2005;MINISTERIO SECRETARÍA GENERAL DE LA PRESIDENCIA;242302;8563487;https://www.leychile.cl/Consulta/Navegar?idNorma=242302&idParte=8563487
Constitución Política de la República;Decreto 100;FIJA EL TEXTO REFUNDIDO COORDINADO Y SISTEMATIZADO DE LA CONSTITUCION POLITICA DE LA REPUBLICA DE CHILE - ART. 2;22-SEP-2005;MINISTERIO SECRETARÍA GENERAL DE LA PRESIDENCIA;242302;8563469;https://www.leychile.cl/Consulta/Navegar?idNorma=242302&idParte=8563469
Constitución Política de la República;Decreto 100;FIJA EL TEXTO REFUNDIDO COORDINADO Y SISTEMATIZADO DE LA CONSTITUCION POLITICA DE LA REPUBLICA DE CHILE - ART. 22;22-SEP-2005;MINISTERIO SECRETARÍA GENERAL DE LA PRESIDENCIA;242302;8563491;https://www.leychile.cl/Consulta/Navegar?idNorma=242302&idParte=8563491
Constitución Política de la República;Decreto 100;FIJA EL TEXTO REFUNDIDO COORDINADO Y SISTEMATIZADO DE LA CONSTITUCION POLITICA DE LA REPUBLICA DE CHILE - ART. 3;22-SEP-2005;MINISTERIO SECRETARÍA GENERAL DE LA PRESIDENCIA;242302;8563470;https://www.leychile.cl/Consulta/Navegar?idNorma=242302&idParte=8563470
Constitución Política de la República;Decreto 100;FIJA EL TEXTO REFUNDIDO COORDINADO Y SISTEMATIZADO DE LA CONSTITUCION POLITICA DE LA REPUBLICA DE CHILE - ART. 4;22-SEP-2005;MINISTERIO SECRETARÍA GENERAL DE LA PRESIDENCIA;242302;8563471;https://www.leychile.cl/Consulta/Navegar?idNorma=242302&idParte=8563471
Constitución Política de la República;Decreto 100;FIJA EL TEXTO REFUNDIDO COORDINADO Y SISTEMATIZADO DE LA CONSTITUCION POLITICA DE LA REPUBLICA DE CHILE - ART. 5;22-SEP-2005;MINISTERIO SECRETARÍA GENERAL DE LA PRESIDENCIA;242302;8563472;https://www.leychile.cl/Consulta/Navegar?idNorma=242302&idParte=8563472
Leyes;Ley 19928;SOBRE FOMENTO DE LA MUSICA CHILENA;31-ENE-2004;MINISTERIO DE EDUCACIÓN;220680;0;https://www.leychile.cl/Consulta/Navegar?idNorma=220680&idParte=0
Leyes;Ley 18838;CREA EL CONSEJO NACIONAL DE TELEVISION;30-SEP-1989;MINISTERIO DEL INTERIOR;30214;0;https://www.leychile.cl/Consulta/Navegar?idNorma=30214&idParte=0
Leyes;Ley 18985;LEY DE DONACIONES CON FINES CULTURALES;28-JUN-1990;MINISTERIO DE HACIENDA;30353;8596498;https://www.leychile.cl/Consulta/Navegar?idNorma=30353&idParte=8596498
Leyes;Ley 20216;ESTABLECE NORMAS EN BENEFICIO DEL CIRCO CHILENO;27-SEP-2007;MINISTERIO DEL INTERIOR,  SUBSECRETARIA DEL INTERIOR;265019;0;https://www.leychile.cl/Consulta/Navegar?idNorma=265019&idParte=0
Leyes;Ley 19169;ESTABLECE NORMAS SOBRE OTORGAMIENTO DE PREMIOS NACIONALES;26-SEP-1992;MINISTERIO DE EDUCACIÓN PÚBLICA;30536;0;https://www.leychile.cl/Consulta/Navegar?idNorma=30536&idParte=0
Leyes;Ley 19891;CREA EL CONSEJO NACIONAL DE LA CULTURA Y LAS ARTES Y EL FONDO NACIONAL DE DESARROLLO CULTURAL Y LAS ARTES;23-AGO-2003;MINISTERIO DE EDUCACIÓN;213895;0;https://www.leychile.cl/Consulta/Navegar?idNorma=213895&idParte=0
Leyes;Ley 17236;APRUEBA NORMAS QUE FAVORECEN EL EJERCICIO Y DIFUSION DE LAS ARTES;21-NOV-1969;MINISTERIO DE EDUCACIÓN PÚBLICA;28850;0;https://www.leychile.cl/Consulta/Navegar?idNorma=28850&idParte=0
Leyes;Ley 19981;SOBRE FOMENTO AUDIOVISUAL;10-NOV-2004;MINISTERIO DE EDUCACIÓN;232277;0;https://www.leychile.cl/Consulta/Navegar?idNorma=232277&idParte=0
Leyes;Ley 19227;CREA FONDO NACIONAL DE FOMENTO DEL LIBRO Y LA LECTURA  Y MODIFICA CUERPOS LEGALES QUE SEÑALA;10-JUL-1993;MINISTERIO DE EDUCACIÓN PÚBLICA;30594;0;https://www.leychile.cl/Consulta/Navegar?idNorma=30594&idParte=0
Leyes;Ley 19253;ESTABLECE NORMAS SOBRE PROTECCION  FOMENTO Y DESARROLLO DE LOS INDIGENAS  Y CREA LA CORPORACION NACIONAL DE DESARROLLO INDIGENA;05-OCT-1993;MINISTERIO DE PLANIFICACION Y COOPERACION;30620;0;https://www.leychile.cl/Consulta/Navegar?idNorma=30620&idParte=0
Leyes;Ley 20243;ESTABLECE NORMAS SOBRE LOS DERECHOS MORALES Y PATRIMONIALES DE LOS INTÉRPRETES DE LAS EJECUCIONES ARTÍSTICAS FIJADAS EN FORMATO AUDIOVISUAL;05-FEB-2008;MINISTERIO DE EDUCACIÓN;269075;0;https://www.leychile.cl/Consulta/Navegar?idNorma=269075&idParte=0
Leyes;Ley 17288;LEGISLA SOBRE MONUMENTOS NACIONALES; MODIFICA LAS LEYES 16.617 Y 16.719; DEROGA EL DECRETO LEY 651  DE 17 DE OCTUBRE DE 1925;04-FEB-1970;MINISTERIO DE EDUCACIÓN PÚBLICA;28892;0;https://www.leychile.cl/Consulta/Navegar?idNorma=28892&idParte=0
Leyes;Ley 17336;PROPIEDAD INTELECTUAL;02-OCT-1970;MINISTERIO DE EDUCACIÓN PÚBLICA;28933;0;https://www.leychile.cl/Consulta/Navegar?idNorma=28933&idParte=0
Leyes;Decreto con Fuerza de Ley 1;FIJA EL TEXTO REFUNDIDO  COORDINADO Y SISTEMATIZADO DEL CODIGO DEL TRABAJO;16-ENE-2003;MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL,  SUBSECRETARÍA DEL TRABAJO;207436;8512427;https://www.leychile.cl/Consulta/Navegar?idNorma=207436&idParte=8512427
Decretos;Decreto 223;APRUEBA REGLAMENTO SOBRE OTORGAMIENTO DEL "PREMIO PEDRO SIENNA" AL ARTE Y A LA INDUSTRIA AUDIOVISUAL NACIONAL;30-DIC-2005;MINISTERIO DE EDUCACIÓN;245630;0;https://www.leychile.cl/Consulta/Navegar?idNorma=245630&idParte=0
Decretos;Decreto 587;APRUEBA REGLAMENTO DEL FONDO NACIONAL DE FOMENTO DEL LIBRO Y LA LECTURA;27-SEP-1993;MINISTERIO DE EDUCACIÓN PÚBLICA;14452;0;https://www.leychile.cl/Consulta/Navegar?idNorma=14452&idParte=0
Decretos;Decreto 65;APRUEBA REGLAMENTO DEL FONDO NACIONAL DE DESARROLLO CULTURAL Y LAS ARTES;25-MAR-2004;MINISTERIO DE EDUCACIÓN;222961;0;https://www.leychile.cl/Consulta/Navegar?idNorma=222961&idParte=0
